date,tavg,tmin,tmax,prcp,pres,city,year,month
2020-01-01,21.4,13.7,29.1,1.0,1014.5,Achalpur,2020,1
2020-02-01,24.3,15.8,32.7,0.0,1013.9,Achalpur,2020,2
2020-03-01,27.9,19.7,36.2,18.0,1010.1,Achalpur,2020,3
2020-04-01,33.2,24.6,41.8,2.0,1006.3,Achalpur,2020,4
2020-05-01,36.1,28.1,44.0,3.0,1002.8,Achalpur,2020,5
2020-06-01,30.3,24.3,36.2,129.0,1001.3,Achalpur,2020,6
2020-07-01,29.1,24.6,33.5,245.0,1001.5,Achalpur,2020,7
2020-08-01,27.3,23.9,30.6,212.0,1001.1,Achalpur,2020,8
2020-09-01,28.9,24.1,33.8,109.0,1004.1,Achalpur,2020,9
2020-10-01,28.5,22.7,34.3,45.0,1007.1,Achalpur,2020,10
2020-11-01,25.1,17.0,33.1,4.0,1013.8,Achalpur,2020,11
2020-12-01,22.9,14.6,31.3,0.0,1014.1,Achalpur,2020,12
2021-01-01,23.3,17.8,30.3,3.0,1012.8,Achalpur,2021,1
2021-02-01,23.9,17.0,31.6,4.9,1013.6,Achalpur,2021,2
2021-03-01,28.3,21.1,36.6,9.9,1010.5,Achalpur,2021,3
2021-04-01,31.4,24.0,39.1,0.3,1007.8,Achalpur,2021,4
2021-05-01,33.4,26.3,39.0,49.3,1004.5,Achalpur,2021,5
2021-06-01,29.1,24.0,34.0,221.7,1003.6,Achalpur,2021,6
2021-07-01,27.8,24.0,31.0,225.0,1002.2,Achalpur,2021,7
2021-08-01,26.8,23.0,30.3,188.6,1004.6,Achalpur,2021,8
2021-09-01,26.9,22.4,29.8,474.5,1004.4,Achalpur,2021,9
2021-10-01,25.4,20.7,31.6,129.9,1009.3,Achalpur,2021,10
2021-11-01,24.7,19.7,30.6,4.9,1011.7,Achalpur,2021,11
2021-12-01,21.5,16.0,28.2,24.4,1015.3,Achalpur,2021,12
2022-01-01,19.6,14.2,26.6,36.2,1014.3,Achalpur,2022,1
2022-02-01,23.0,16.2,31.2,1.5,1011.9,Achalpur,2022,2
2022-03-01,29.7,21.9,37.9,1.2,1009.0,Achalpur,2022,3
2022-04-01,34.1,26.4,42.0,0.0,1006.0,Achalpur,2022,4
2022-05-01,35.3,28.6,41.9,12.6,1001.9,Achalpur,2022,5
2022-06-01,31.3,26.2,37.0,110.8,1002.5,Achalpur,2022,6
2022-07-01,25.9,23.1,29.1,414.3,1002.4,Achalpur,2022,7
2022-08-01,26.1,23.1,29.8,357.6,1003.1,Achalpur,2022,8
2022-09-01,26.0,22.9,30.5,259.2,1005.9,Achalpur,2022,9
2022-10-01,25.1,20.6,31.1,82.7,1010.7,Achalpur,2022,10
2022-11-01,22.9,17.2,30.7,0.0,1013.7,Achalpur,2022,11
2022-12-01,22.9,17.4,30.2,4.6,1013.5,Achalpur,2022,12
2023-01-01,21.8,16.1,29.7,2.2,1014.8,Achalpur,2023,1
2023-02-01,24.5,16.8,33.9,0.0,1013.7,Achalpur,2023,2
2023-03-01,27.4,19.9,34.5,24.6,1011.7,Achalpur,2023,3
2023-04-01,30.1,22.5,37.1,56.3,1009.2,Achalpur,2023,4
2023-05-01,32.3,24.9,39.4,25.0,1006.7,Achalpur,2023,5
2023-06-01,32.8,26.4,37.9,97.2,1003.2,Achalpur,2023,6
2023-07-01,27.2,23.5,30.2,400.9,1002.7,Achalpur,2023,7
2023-08-01,26.8,23.0,30.3,77.6,1005.9,Achalpur,2023,8
2023-09-01,27.5,23.3,31.0,171.5,1005.0,Achalpur,2023,9
2023-10-01,26.4,20.7,33.8,23.9,1011.6,Achalpur,2023,10
2023-11-01,24.3,19.1,30.9,67.4,1014.0,Achalpur,2023,11
2023-12-01,21.8,16.5,28.1,3.5,1015.2,Achalpur,2023,12
2024-01-01,21.9,16.5,28.8,1.0,1014.8,Achalpur,2024,1
2024-02-01,25.0,18.4,32.4,4.6,1014.3,Achalpur,2024,2
2024-03-01,28.6,21.2,36.5,7.3,1011.4,Achalpur,2024,3
2024-04-01,31.4,23.8,38.1,56.4,1008.3,Achalpur,2024,4
2024-05-01,33.5,26.1,41.0,15.7,1003.8,Achalpur,2024,5
2024-06-01,32.0,25.0,37.0,139.5,1002.8,Achalpur,2024,6
2024-07-01,27.4,23.7,29.8,496.4,1000.6,Achalpur,2024,7
2024-08-01,27.2,23.4,29.9,224.5,1003.5,Achalpur,2024,8
2024-09-01,27.3,23.2,30.8,153.4,1003.9,Achalpur,2024,9
2024-10-01,27.2,22.3,33.5,71.2,1009.9,Achalpur,2024,10
2024-11-01,24.0,18.6,31.3,0.0,1013.5,Achalpur,2024,11
2024-12-01,22.9,17.5,29.8,9.0,1013.6,Achalpur,2024,12
2025-01-01,23.0,16.8,30.8,0.4,1013.9,Achalpur,2025,1
2025-02-01,26.7,20.0,34.4,0.0,1013.1,Achalpur,2025,2
2025-03-01,30.5,21.0,39.9,0.0,1009.1,Achalpur,2025,3
2025-04-01,33.5,26.1,41.1,11.7,1006.3,Achalpur,2025,4
2025-05-01,32.0,25.1,37.7,97.6,1003.8,Achalpur,2025,5
2025-06-01,29.9,24.8,34.6,165.0,1001.9,Achalpur,2025,6
2025-07-01,26.9,23.3,29.5,280.7,1001.9,Achalpur,2025,7
2025-08-01,26.4,23.0,30.2,287.5,1004.4,Achalpur,2025,8
2025-09-01,25.6,22.9,29.7,328.5,1006.0,Achalpur,2025,9
2025-10-01,25.8,22.1,30.2,107.8,1009.9,Achalpur,2025,10
2025-11-01,22.3,17.2,28.1,3.7,1014.6,Achalpur,2025,11
2025-12-01,20.6,14.5,27.8,0.0,1015.7,Achalpur,2025,12
2020-01-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,1
2020-02-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,2
2020-03-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,3
2020-04-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,4
2020-05-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,5
2020-06-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,6
2020-07-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,7
2020-08-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,8
2020-09-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,9
2020-10-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,10
2020-11-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,11
2020-12-01,26.633689154568746,21.414444444444445,32.41121172919362,0.0,1008.9854796888507,Ahmednagar,2020,12
